osmid,x,y
2149980966,73.2810724,54.9830089
2149980973,73.2802022,54.9832749
2149980976,73.2800046,54.9833727
2149980989,73.2813953,54.9838309
2150065935,73.4056888,54.9832168
2150065940,73.4054226,54.9853235
2155594921,73.2739091,54.9308706
2155594941,73.2746353,54.9331842
2155594943,73.2748556,54.933282
2155776115,73.2542232,55.0406396
2160573572,73.4479869,55.0086971
2160616997,73.4302755,54.9376607
2160668461,73.305859,54.9456948
2162061345,73.3197076,54.9788241
2183289695,73.4249529,55.0350163
2183289830,73.4302967,55.0424114
2183289869,73.4335179,55.0427004
2183289876,73.4346116,55.0427982
2195279043,73.4025265,54.984102
2195310939,73.3890093,54.9095023
2195316283,73.3424473,54.9370071
2195316295,73.3429589,54.9372969
2195508650,73.3947674,54.9959881
2195517001,73.4302436,55.0068846
2195517002,73.428649,55.0074463
2195529923,73.4151857,54.9241143
2196950799,73.2593123,55.040863
2210889937,73.377978,54.936058
2216247429,73.3836865,55.0004189
2216247432,73.3814311,55.0012059
2216314111,73.4523545,54.9490838
2241014990,73.4475879,54.9873509
2241201355,73.4898259,54.9275251
2241201370,73.4931943,54.9278209
2243849576,73.3802027,54.9941896
2243970437,73.442781,54.9459102
2243970489,73.4380526,54.9511302
2269301114,73.4016068,54.9989052
2269301130,73.4017935,54.9998255
2269301136,73.3971286,55.0009007
2272264630,73.4461531,55.0362568
2276491067,73.3203207,54.9416483
2280838821,73.3100229,54.9431502
2280838822,73.3029427,54.9452806
2280838823,73.302541,54.9454011
2280838827,73.3033542,54.9458566
2280838829,73.3019579,54.9464415
2280869153,73.3994394,55.0078309
2280869155,73.3992888,55.0078884
2281784219,73.321708,54.9177032
2282815455,73.4121764,54.9764761
2285263014,73.4749053,55.0104658
2285263022,73.4755255,55.0106105
2286420381,73.3330622,54.9463326
2286420384,73.332311,54.9467287
2286560257,73.3713475,54.9892968
2289376902,73.3649209,55.0186552
2289376903,73.3649043,55.0179109
2289376905,73.3649361,55.0194279
2289376906,73.3648557,55.0098914
