u,v
410262815,410263344
410262818,410242472
410262818,410262815
410263344,410262612
410263344,410262815
410339050,410339051
410339051,410339050
410339051,1069067186
410339678,410375725
410339678,410621886
410339678,456011493
410343288,929841653
410343288,410592476
410343288,410594033
410343884,1262271553
410343884,1313803616
410343884,597143558
410343884,597143558
410344906,410544766
410344906,410548260
410344906,410552457
410345691,410347454
410345691,410345697
410345697,410345699
410345697,410544428
410345699,10926699397
410345699,410541874
410347416,956663338
410347416,597125864
410347416,242924129
410347452,410543407
410347452,410543271
410347452,410347454
410347454,410543271
410347454,410345691
410347454,410347452
410359511,410359605
410359511,411704362
410359511,453025601
410359517,2291383596
410359517,1223933218
410359517,7202745203
410359605,410359511
410359605,1118365138
410359605,453025599
410363321,453025695
410363321,410242452
410363321,410363883
410363883,410363321
410363883,410367321
410363883,737359148
410364254,242924705
410364254,1246524022
410364254,410366302
410364959,737359128
410364959,2460099678
410364959,410366302
410365799,598483954
410365799,4926286375
410365799,410366080
410366077,1735974783
410366077,410366080
410366077,2285263014
410366080,598483996
410366080,410365799
410366080,410366077
410366113,2460099678
410366113,410366589
410366113,410366584
410366279,410366294
410366294,410366589
410366294,410366279
410366294,746966746
410366302,410366589
410366302,410364959
410366302,410364254
410366584,410366113
410366589,410366302
410366589,410366294
410366589,410366113
410366727,1246523677
410367317,453025689
410367317,456011914
410367317,1899588799
410367321,1899588984
410367321,410363883
410367321,410367325
410367321,456011914
410367325,2482088041
410367325,410367321
410367325,1305528209
410367329,2482088041
410367329,936832026
410367329,410229566
410367330,1899588749
410367330,410367369
410367330,411690253
410367369,410367330
410367369,746912397
410367369,1899588744
410368182,410186216
410368182,932497256
410368182,863099579
410371908,1262271304
410371908,947872475
410371908,766985538
410371915,1254151659
410371915,947872259
410371915,410178032
410372139,1259865233
410372139,472330260
410374849,496176404
410374849,3081179964
410374849,3149176090
410374855,11391385591
410374855,410580425
410374855,11391385583
410375725,941363351
410375725,1212923431
410375725,410339678
410375824,1420112498
410375824,1241860516
410375824,410376130
410375825,1241860516
410375825,485567802
410375825,410410149
410375831,410375825
410375831,465491934
410375894,410375895
410375894,1420112498
410375894,1633726827
410375895,1202747326
410375895,1212923431
410375895,410375894
410375981,940073840
410375981,242922162
410375981,410375984
410375984,410375981
410375984,1208579498
410375984,472791424
410376130,465491934
410376130,410375824
410376130,1208579498
410376296,1652422060
410376296,410378510
410376296,456038244
410376301,410376391
410376301,410376989
410376301,1488430673
410376391,410376393
410376391,410376301
410376391,956662800
410376391,1241638458
410376393,2513575507
410376393,410376391
410376393,1488430673
410376396,410376423
410376396,410376397
410376396,410377472
410376397,456038244
410376397,410376396
410376397,410376572
410376412,410516549
410376412,457422195
410376412,410516844
410376412,4253843059
410376423,410376396
410376423,465353151
410376423,410376572
410376423,410376584
410376482,410376485
410376482,410376584
410376482,595691604
410376485,465353151
410376485,457422195
410376485,410376482
410376572,410376423
410376572,465353153
410376572,410376397
410376584,410376423
410376584,410377474
410376584,410376482
410376942,410377474
410376989,410376301
410377027,956662800
410377469,1652422096
410377469,410378174
410377469,410378387
410377471,1652422096
410377471,410378510
410377471,2513575505
410377471,410377472
410377472,2513575507
410377472,410377474
410377472,410377471
410377472,410376396
410377474,410376584
410377474,410376942
410377474,410377472
410377914,2513575544
410377914,410377915
410377914,1488421162
410377915,1488430673
410377915,410377914
410377915,2513575505
410378170,410378171
410378170,410378385
410378170,410235298
410378171,410378170
410378171,410235298
410378171,410378386
